meloeiro	(fruta)
gavião	(ave_de_rapina aves_de_rapina)
canteiro_de_obras	(lote)
novial	(língua_artificial linguagem_artificial)
hostilidade	(ação inimizade repulsa ressentimento condição estado situação
             aversão ódio ato atividade)
acompanhamento	(obra ocupação inspecionar proteção prato atividade trabalho
                examinar protecção)
Brugmansia_suaveolens	(arbustos arbusto moita mato arvoreta)
garrafa	(botelha frasco biberão Garrafa vasilhame vasilha vaso)
castigar	(censurar reprovar condenar repreender reprimir verberar reprimendar
          descompor esculhambar penalizar punir)
Alarmes	(Sinalização_telefônica sinal)
insurreição	(rebelião revolta luta conflito)
Usina	(estação posto)
Guyot	(Monte_submarino)
equipamento_militar	(equipamento)
diabetes_insipidus	(diabetes diabetes_mellitus diabete)
sociedade_em_comandita	(empresas corporação)
Rosarium	(jardim horto)
depoimento	(asserção prova)
salmonete	(carne_de_peixe peixe)
Carro_bomba	(bomba Bombas)
Hora-de-ponta	(hora)
lousa	(bloco placa tijolos chapa produto utensílio artefato)
limpar	(livrar desaparecer esvaziar esvair lavar esfregar remover desimpedir
        alterar mudar modificar evaziar retirar tirar cuidar-se)
endereçar	(utilizar iniciar abordar encetar usar empregar)
alga	(prototista protoctista algas)
quota	(arrendamento_de_terras atribuição alocação)
Epônimos	(prenome primeiro_nome nome_de_batismo nome_próprio nome antenome)
Agência_Central_de_Inteligência	(Inteligência_dos_Estados_Unidos
                                 Inteligência_dos_Estados_Unidos_da_América)
marca_sgml	(rótulo etiqueta)
reproduzir	(repetir eco ecoar produzir fazer provocar criar realizar construir
            causar)
musaranho	(insectívoros)
colonização	(estabelecimento organização constituição)
placentários	(espécies classe)
repressão	(prevenção Ajustamentos)
mercadoria	(utensílio artefato produto objecto_posto_à_venda Bens artigo
            fazenda bem)
Míssil_ar-ar	(míssil)
Memória_paginada	(expressão enunciado)
aguilhoar	(provocar esfaquear apunhalar incitar)
local	(posição lugar)
débil_mental	(idiota simplória estúpido simplório matarruano)
verniz_para_as_unhas	(esmalte cosmético Cosméticos)
cetose	(sintoma)
Máquina_de_fiar_hidráulica	(máquina_de_fiar)
manter	(cativar registrar adotar achar direcionar mirar apontar insistir
        registar segurar guardar ter afirmar entregar dar pensar encantar
        deliciar deleitar fascinar conservar reter adoptar estar ser)
Thompson	(Pistolas-metralhadoras Submetralhadora pistola-metralhadora)
granada_de_mão	(granada romã)
Chuvas_de_meteoros	(fenômeno_atmosférico)
videocassete	(cassete Gravador gaveta Video vídeos vídeo Vídeo gravador)
flamejar	(intensificar)
diastema	(vão fenda)
satiríase	(concupiscência cio Eros)
Caspa	(exfoliação)
recta	(reta)
debitar	(contabilizar pagar computar contar)
Lucy_in_the_Sky_with_Diamonds	(dietilamida_do_ácido_lisérgico)
municipalidade	(reunião)
algaravia	(tolice insensatez disparate besteira)
angústia	(sofrimento sentimento dor emoção impressão)
passar_de_largo	(andar ir caminhar viajar)
covarde	(alma indivíduo ser_humano alguém pessoa)
mandado	(mandato negócio_jurídico)
Condados_do_Reino_Unido	(região)
retor	(alto-falante locutor palestrante falante)
dona	(mulher)
banco_de_areia	NIL
Bispo_da_Igreja_Católica	(sacerdote pastor presbítero clérigo padre)
reentrada	(retorno regresso)
caçadora	(caçador)
regressão	(Ajustamentos anormalidade)
Corindon	(minérios matéria_mineral minerais mineral)
teletransportar	(transportar)
selénio	(elemento_químico Antioxidantes antioxidante)
fazer_prova_de	(ser estar)
gazela-de-thomson	(gazela)
secretaria	(instituição_pública Governo agência_governamental agência
            escritório corpos_administrativos posto cargo posição)
dívida_pública	(dívidas Débito dívida Dívida)
epidemiologista	(médico-cientista)
homem_de_negócios	(empresário)
estambre	(pano têxteis fazenda tecido tecido_têxtil)
Mortes_por_enforcamento	(punição_importanta pena_capital Pena_de_morte
                         pena_de_morte execução)
Natureza_morta	(pintura)
batata	(pá videira Raízes_e_tubérculos_comestíveis cipó parreira)
marés_vermelhas	(salmoura água_salgada água_do_mar)
mascarar	(disfarçar omitir esconder encobrir tapar acobertar ocultar tampar)
faceta	(qualidade característica carácter_distintivo)
basidiósporo	(esporo)
moto	(motocicletas Motos motocicleta mota veículos_motorizados)
assalariado	(trabalhador)
via	(produto utensílio artefato estrada caminho)
Espeleologia	(Passatempos hobby Passa-tempo passatempo)
mação	(artífice artesão)
dique	(Terrapleno obstáculo barreira)
alusão	(referência comentário observação)
vestir-se	(mudar alterar)
lógica_booleana	(Lógica_matemática)
diarquia	(Regimes_políticos)
batatadoce	(Morning_glory Morning_Glory)
dóricos	(heleno grega grego)
Hipálage	(Figuras_de_linguagem figura_linguagem)
miniatura	(cópia reprodução)
Saturnalia	(festival)
analisador	(instrumento aparelho ferramenta instrumento_musical)
Tutela_antecipada	(julgamento sentença)
lhama	(Artiodáctilos ungulados artiodátilos artiodátilo)
hidrocefalia	(anormalidade)
Memória_Virtual	(memória placa_de_memória)
gracejo	(humor)
desionizar	(livrar)
haptoglobina	(proteína Proteínas proteínas Proteina)
Anglo-Normando	(língua_francesa francês)
haloalcano	(composto_orgânico substâncias_orgânicas Compostos_orgânicos
            Composto_orgânico matéria_orgânica)
Drywall	(lousa tábua quadro)
Valões	(Grupo_étnico grupo_étnico raça Etnicidade etnia)
dominar	(baixar saber governar influir influenciar reger)
ácido_glicólico	(Ácidos ácidos ácido)
bimilenio	(período etapa tempo)
grupos_sociais	(conjunto agrupação grupo)
adivinhação	(questão problema agouro augúrio presságio)
Papoila	(papoula papoila dormideira)
estima	(honra saudação)
inalação	(respiração)
espirro	(reflexo Reflexos sintoma)
Linha_de_pesca	(corda)
lã	(pelo pano têxteis fazenda tecido tecido_têxtil pelagem cabelo pêlo corda)
desejo_veemente	(anseio apetite pretensão desejo)
os_leitores	(audiência espectador)
pré-eclâmpsia	(toxemia)
Molibdenio	(metal Metais metais)
Lepidothamnus_laxifolius	(arbustos arbusto moita mato arvoreta)
AuPair	(estrangeiro estrangeira)
profundidade	(profundeza fundura alcance extensão)
líquen	(fungos fungo)
Prisão_de_Ventre	(sintoma)
faltar	(negligenciar falhar)
escarnecer	(zombar menosprezar ironizar)
Morte_Cerebral	(morte)
pequeno_barco	(barco)
PASCAL	(linguagem_de_programação)
anidrido	(composto_químico Compostos_químicos substância_química
          Composto_químico)
zarabatana	(cano canal duto ducto chaminés_de_fábrica condutas conduto tubo
            pipeline cachimbo canais)
ulemá	(comunidade grupo)
petróleo	(combustível_fóssil Hidrocarbonetos hidrocarboneto hidrocarbonetos
          carburante combustível material_com_que_se_aquece óleo)
apaixonar	(impressionar cair elicitar comover afetar provocar incitar estimular
           concitar)
orelhão	(cabine quiosque)
lead_time	(tempo intervalo intervalo_de_tempo)
Haïku	(poema poesia)
Rotifera	(invertebrado invertebrados)
Piezômetro	(Instrumento_de_medida metro instrumentos_de_medição
            Instrumentos_de_medida)
reflectir_fortemente	(luzir refletir)
Outrigger	(canoa)
macaco_(fig.)	(muco)
estação_rodoviária	(estação)
Cachê	(buffer)
cadastrar	(indicar assinalar)
pregação	(discurso)
Fungicida	(agente)
familia	(grupos_sociais)
Íris	(membrana)
línguas_românicas	(latim)
Selva	(floresta mata bosque)
Clava	(vara pau bastão)
ponto_de_mira	(objectivo intenção meta alvo)
Cedro-do-incenso-da-califórnia	(cedro)
remoinho	(correnteza fluxo corrente)
líquido_extracelular	(Fluidos_corporais)
trifle	(sobremesa pudim)
ratificar	(formalizar confirmar validar)
Fenotipo	(constituição composição estrutura)
Psicoterapia	(terapia Terapias)
Periquito_australiano	(periquito)
Medicina_de_família_e_comunidade	(doutor médico)
epítome	(sumário resumo sinopse)
seguidor	(caçador advogado representante defensor proponente entusiasta alma
          indivíduo ser_humano alguém pessoa)
Μ	(caracter letra caractér carácter)
erradicação	(desolação destruição demolição)
prestidigitar	(atirar jogar lançar)
paganismo	(religião Crença_religiosa fé)
plagiador	(gatuno ladra ladrão)
asana	(postura posição atitude)
Ás	(Cartas_de_jogar baralho carta carta_de_baralho)
admissibilidade	(aceitabilidade)
Flatulência	(prolixidade)
Ddt	(Insecticidas insecticidas inseticida poluentes)
epígrafe	(inscrição)
gasto	(avaria)
franco-maçonaria	(companherismo)
DICROMATO_DE_POTÁSSIO	(sal sais)
coreana	(asiano asiática asiático)
Coq_au_Vin	(prato)
cão_de_montanha_dos_pirenéus	(cachorro cão)
historial	(crônica crónica)
baby-sitter	(guardião)
Hipercaliémia	(sintoma)
Pseudônimo	(pseudônimo Pseudónimo Pseudónimos pseudónimo)
florilégio	(antologia crestomatia Antologia selecta Antologias)
tio-avô	(tio)
seriedade	(peculiaridade feição severidade intensidade sentimento emoção
           impressão)
protocolar	(registrar)
reger	(acompanhar executar fazer desempenhar apresentar governar)
Marcha	(Género_Musical Gênero_Musical)
traje_de_banho	(vestuário roupa)
contra-revolução	(revolução Revolução Revoluções)
Geofisica	(geologia)
Nervo_abducente	(Nervos_cranianos Nervo_craniano)
filosofar	(raciocínar refletir pensar)
transplantação_de_órgãos	(cirurgia operação_cirúrgica operação)
pântanos_turfosos	(zona_úmida)
Princípio_de_pascal	(lei)
Teísmo	(religião Crença_religiosa fé)
Cloreto_de_amónio	(sal sais)
T-bone	(bife bifsteque)
patrocinador	(doador)
vida_animal	(vida)
carícia	(contato abraço toque)
mumificar	(preservar murchar embalsamar manter continuar enrugar)
boas-vindas	(aceitação)
enxaguadura	(eliminação remoção)
touca	(quepe boné barrete)
exosqueleto	(esqueleto Sistema_esquelético)
tchecoslovaco	(europeu)
Jogos_olímpicos_de_inverno	(olimpíada Jogos_Olímpicos Olimpíadas)
Língua_de_sinais_americana	(linguagem_de_sinais língua_de_sinais
                            linguagem_dos_sinais mímica)
memória_ROM	(memória placa_de_memória)
Barracão_Nissen	(barraca mucambo)
óptica	(Fisica ciências_físicas Física física)
rival	(contendor)
Ciência_Cristã	(Protestantismo protestantismo)
caril	(prato)
incorporar_a	(anexar)
caravançará	(pousada hospedaria albergaria hotel albergue)
cimento_Portland	(Cimento cimento)
coerção	(causalidade controle_social)
Dizima_periodica	(decimal)
Pedigree	(animal criatura bicho ser besta)
Artrite_Reumatóide	(Artrite artrite doença_auto-imune)
aprumar	(ajustar corrigir acertar)
psicologia	(ciência)
incômodo	(moléstia contrariedade)
programação_linear	(Matemática_Aplicada Matemática_aplicada)
ponderar	(questionar raciocínar refletir pensar perguntar interrogar contemplar)
Mistral	(cierzo)
perjurar	(mentir)
Caçador_de_recompensas	(caçador)
submissão	(ação_em_grupo)
pinho	(madeira)
perversão	(mal Maldade maldade)
dito	(marco ponto)
aleurona	(proteína Proteínas proteínas Proteina)
anedota	(relato relatório)
Americio	(metal Metais metais)
artéria	(estrada vaso_sanguíneo Vaso_sanguíneo Vaso_sangüíneo rua)
ácido_fumárico	(Ácidos ácidos ácido)
descontaminação	(eliminação remoção)
Aviões_Stealth	(aeronaves avião aeronave aeroplano)
Estações_de_esqui	(resort Estâncias_termais)
sintoma	(sinal indicação agouro indício presságio evidência)
notícias	(emissão programa informação)
berimbau	(instrumento metais Metais instrumento_musical)
freira	(religioso)
frio	(febre temperatura calor Temperatura temperatura_do_ar)
surpreender	(atuar impressionar comover afetar enrolar perplexar confundir
             assombrar sobressaltar agir fazer)
boliche__na_grama	(boliche Boliche)
gnetófitas	(espécies classe)
Bisso	(fibra fibras thread)
incursão	(esforço tentativa)
Jasmim-da-noite	(arbustos arbusto moita mato arvoreta)
gimnosperma	(fanerogâmicas)
Ulvophyceae	(espécies classe)
baloiço	(aparelho_mecânico Brinquedos brinquedo)
Riolito	(rocha_ígnea Rochas_ígneas Rocha_ìgnea)
línguas_semíticas_centro-meridionais	(línguas_semíticas Línguas_semíticas
                                      Línguas_Semíticas)
nitratos	(composto_químico Compostos_químicos substância_química
          Composto_químico)
aerofólio	(ferramenta aparelho aparato mecanismo instrumento dispositivo
           equipamento)
altear	(acrescentar crescer aumentar)
Ortografia	(Escrita escrita documentos)
Prêmio_Nobel	(prêmio galardão Prémio Prêmios prémio)
queixar	(indiciar acusar denunciar)
Marca_Registrada	(marcadores selo marca)
androginia	(gênero sexualidade sexo)
aumento_de_custos	(acrescentamento aumento)
emanação	(emergência)
Vapor_de_água	(evaporação vapor)
brucelose	(doenças_infecto-contagiosas doença_infecciosa)
inchamento	(sintoma)
falha_geológica	(fronteira)
Envelhecimento	(processos_biológicos)
pagamento_adiantado	(custo)
uniforme	(vestido traje vestimenta vestuário roupa)
dúvida	(precariedade incerteza)
ama-seca	(médico)
varredor	(detector)
tiro_com_arco	(esporte)
planícies	(planície campanha)
tecnologia_da_comunicação	(engenharia tecnologia)
dura-máter	(meninges Meninges)
gavagem	(alimentação)
angla	(europeu)
incipiência	(começo princípio início)
ensaio_geral	(ensaio)
fronteiras_nacionais	(fronteira limite borda margem_interior)
intimidação	(terror desalento desânimo consternação temor medo susto)
atuário	(estimador computador)
por_leite	(acrescer acrescentar somar adicionar)
Aqüífero	(formação_geológica formação)
Tabuleiro_ouija	(tabuleiro_de_jogos)
super-homem	(líder chefe)
duração_de_uma_vida	(período etapa tempo)
Tronco	(caule Anatomia tronco parte_do_corpo)
bomba_d'água	(bombas_de_água aparelho_mecânico Bomba_hidráulica
              bomba_de_combustível Bomba_Hidráulica bombagem bombas bomba)
imprensa	(maquinaria máquina)
ovo_cozido	(prato)
Linfedema	(edema hidropisia)
tojal	(arbustos arbusto moita mato arvoreta)
calendário_lunissolar	(calendário)
principiar	(estar ser)
sentir-se_bem	(estar ser)
Pontuação	(agrupamento)
popô	(Anatomia parte_do_corpo)
ELISA	(ensaios)
mugir	(gritar berrar emitir soltar)
avermelhar	(colorizar descolorir colorir)
Neutron	(nucleon Nucleons Núcleon nucleão)
bétel	(vara)
Divisória_Continental_da_América_do_Norte	(cumeeira divisória_de_águas
                                           linhas_de_separação horário_nobre)
abelha-rainha	(sota rainha)
pelotão	(corpo)
desembolsar	(pagar)
calibrar	(ajustar mensurar corrigir acertar medir)
despedida	(adeus partida)
superintendência	(gestão administração)
Telescópio_newtoniano	(Telescópio_reflector)
